id,id_cliente,id_canal,id_campanha,data,id_status
1,25932,1,1,2026-08-03,3
2,69815,1,1,2026-08-03,1
3,109859,1,1,2026-08-03,1
4,111904,1,1,2026-08-03,3
5,141529,1,1,2026-08-03,4
6,187932,1,1,2026-08-03,1
7,22354,1,1,2026-08-03,3
8,193123,1,1,2026-08-03,3
9,48812,1,1,2026-08-03,1
10,195488,1,1,2026-08-03,1
11,131364,1,1,2026-08-03,3
12,135842,1,1,2026-08-03,3
13,121679,1,1,2026-08-03,3
14,91956,1,1,2026-08-03,3
15,171292,1,1,2026-08-03,3
16,125178,1,1,2026-08-03,3
17,119739,1,1,2026-08-03,4
18,184064,1,1,2026-08-03,3
19,159785,1,1,2026-08-03,3
20,169812,1,1,2026-08-03,4
21,167996,1,1,2026-08-03,3
22,107270,1,1,2026-08-03,6
23,164272,1,1,2026-08-03,3
24,169041,1,1,2026-08-03,1
25,128240,1,1,2026-08-03,3
26,96425,1,1,2026-08-03,3
27,52450,1,1,2026-08-03,3
28,567,1,1,2026-08-03,3
29,134262,1,1,2026-08-03,3
30,17585,1,1,2026-08-03,1
31,24131,1,1,2026-08-03,3
32,62761,1,1,2026-08-03,3
33,178505,1,1,2026-08-03,3
34,21333,1,1,2026-08-03,3
35,98315,1,1,2026-08-03,3
36,2521,1,1,2026-08-03,3
37,178081,1,1,2026-08-03,3
38,194647,1,1,2026-08-03,1
39,149866,1,1,2026-08-03,3
40,107136,1,1,2026-08-03,3
41,148629,1,1,2026-08-03,3
42,68661,1,1,2026-08-03,3
43,45975,1,1,2026-08-03,5
44,86816,1,1,2026-08-03,3
45,55009,1,1,2026-08-03,3
46,76033,1,1,2026-08-03,3
47,77964,1,1,2026-08-03,3
48,176081,1,1,2026-08-03,3
49,82307,1,1,2026-08-03,3
50,163168,1,1,2026-08-03,3
51,112278,1,1,2026-08-03,3
52,139427,1,1,2026-08-03,3
53,16650,1,1,2026-08-03,4
54,158147,1,1,2026-08-03,5
55,74427,1,1,2026-08-03,4
56,19532,1,1,2026-08-03,3
57,121865,1,1,2026-08-03,3
58,117556,1,1,2026-08-03,3
59,63818,1,1,2026-08-03,3
60,62832,1,1,2026-08-03,4
61,100010,1,1,2026-08-03,1
62,30712,1,1,2026-08-03,3
63,191485,1,1,2026-08-03,4
64,140976,1,1,2026-08-03,3
65,153965,1,1,2026-08-03,3
66,156665,1,1,2026-08-03,3
67,126216,1,1,2026-08-03,3
68,67513,1,1,2026-08-03,3
69,5361,1,1,2026-08-03,5
70,185260,1,1,2026-08-03,3
71,155502,1,1,2026-08-03,3
72,80718,1,1,2026-08-03,3
73,79518,1,1,2026-08-03,3
74,100779,1,1,2026-08-03,3
75,92325,1,1,2026-08-03,3
